file,sha256,resource_id,title,kind,integration_role,implementation_status,allowed_name,source_url,license_url,redistribution_allowed,actual_sha256,status
2406.14995v2.pdf,6c60e162f4de8a7523626730e3c1725c8d730c56dbe445712656cd6710d22201,arxiv:2406.14995v2,Differentiable and Learnable Wireless Simulation with Geometric Transformers,paper,Wi-GATr specification and provenance,official-code-adaptation,Wi-GATr official-code adaptation,https://arxiv.org/pdf/2406.14995v2,https://creativecommons.org/licenses/by/4.0/,True,6c60e162f4de8a7523626730e3c1725c8d730c56dbe445712656cd6710d22201,PASS
2502.11965v2.pdf,1b6aac49344d04e60e07ce29f950593b5699daddaac04a01ab848e7be3426c2d,arxiv:2502.11965v2,A MIMO Wireless Channel Foundation Model via CIR-CSI Consistency,paper,CSI-CLIP controlled implementation specification,paper-spec-controlled-implementation,CSI-CLIP-style controlled implementation,https://arxiv.org/pdf/2502.11965v2,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,False,1b6aac49344d04e60e07ce29f950593b5699daddaac04a01ab848e7be3426c2d,PASS
2505.09160v2.pdf,b32ac897858212faf9cd7189f84f1bf94e522f8b8dfdaaa881b58cc798fde4d1,arxiv:2505.09160v2,A Multi-Task Foundation Model for Wireless Channel Representation Using Contrastive and Masked Autoencoder Learning,paper,ContraWiMAE controlled implementation specification,paper-spec-controlled-implementation,ContraWiMAE paper-spec controlled implementation,https://arxiv.org/pdf/2505.09160v2,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,False,b32ac897858212faf9cd7189f84f1bf94e522f8b8dfdaaa881b58cc798fde4d1,PASS
2601.03789v1.pdf,5ec21848bb1e82bd8b3331cea71e6663ce41f72cb410f6db72187c8088ae7d93,arxiv:2601.03789v1,CSI-MAE: A Masked Autoencoder-based Channel Foundation Model,paper,CSI-MAE controlled implementation specification,paper-spec-controlled-implementation,CSI-MAE paper-spec controlled implementation,https://arxiv.org/pdf/2601.03789v1,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,False,5ec21848bb1e82bd8b3331cea71e6663ce41f72cb410f6db72187c8088ae7d93,PASS
2603.25216v1.pdf,711304aed7766057263502d36af63927e97dff10d683dc1659e89e5a46b2b102,arxiv:2603.25216v1,A Wireless World Model for AI-Native 6G Networks,paper,WWM-inspired same-world matched prediction specification,style-controlled-implementation,WWM-inspired same-world matched prediction,https://arxiv.org/pdf/2603.25216v1,https://creativecommons.org/licenses/by/4.0/,True,711304aed7766057263502d36af63927e97dff10d683dc1659e89e5a46b2b102,PASS
2604.07086v1.pdf,24838f6a01eab58bf31d7fe54167dc13a245d3e6a6986da4e3023cafe2e0ff83,arxiv:2604.07086v1,Radio-Frequency Inverse Rendering for Wireless Environment Modeling,paper,RFIR controlled forward-model specification,style-controlled-implementation,RFIR-inspired controlled implementation,https://arxiv.org/pdf/2604.07086v1,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,False,24838f6a01eab58bf31d7fe54167dc13a245d3e6a6986da4e3023cafe2e0ff83,PASS
2606.04770v1.pdf,97e368043d0c111987d26993ec88c295c5bb997126e21711223ca5448d1645ec,arxiv:2606.04770v1,WiSER: A Wireless Scene Encoder for Geometry-Grounded Multi-View Wireless Prediction,paper,WiSER controlled forward-model specification,style-controlled-implementation,WiSER style-controlled implementation,https://arxiv.org/pdf/2606.04770v1,https://creativecommons.org/licenses/by/4.0/,True,97e368043d0c111987d26993ec88c295c5bb997126e21711223ca5448d1645ec,PASS
Wi-GATr-main.zip,b78be8ed14d16aab6c8fea54c2aa90a22bed492a12a6e892ee4c225c60a8138c,github:Qualcomm-AI-research/Wi-GATr@6daa5bd49d9499817d903ab335830221d01e9daa,Wi-GATr official source archive,official-source-archive,Wi-GATr executable adapter,official-code-adaptation,Wi-GATr official-code adaptation,https://github.com/Qualcomm-AI-research/Wi-GATr/archive/6daa5bd49d9499817d903ab335830221d01e9daa.zip,https://github.com/Qualcomm-AI-research/Wi-GATr/blob/6daa5bd49d9499817d903ab335830221d01e9daa/LICENSE,True,b78be8ed14d16aab6c8fea54c2aa90a22bed492a12a6e892ee4c225c60a8138c,PASS
PMNet-a0e0c592.zip,e48e283e596270a9932052cc41f213b0a22c0ebbf29ba9551c5562d8cb877331,github:abman23/pmnet@a0e0c5926de721074beeb23f630f2d313f6508dd,PMNet official source archive,official-source-archive,PMNet executable C1 adapter,official-code-adaptation,PMNet official-code adaptation,https://github.com/abman23/pmnet/archive/a0e0c5926de721074beeb23f630f2d313f6508dd.zip,https://opensource.org/license/mit,True,e48e283e596270a9932052cc41f213b0a22c0ebbf29ba9551c5562d8cb877331,PASS
sionna-main.zip,fdbf89f307cc8933535af1587f00f1bcbd4b5edf7715275cd461bd4779f1fac7,github:NVlabs/sionna@04ddb9312116b408093b9d3ad363a3df355093a6,Sionna 2.0 official source archive,official-source-archive,Sionna RT provenance and environment bootstrap,official-code-adaptation,Sionna official source facility,https://github.com/NVlabs/sionna/archive/04ddb9312116b408093b9d3ad363a3df355093a6.zip,https://github.com/NVlabs/sionna/blob/04ddb9312116b408093b9d3ad363a3df355093a6/LICENSE,True,fdbf89f307cc8933535af1587f00f1bcbd4b5edf7715275cd461bd4779f1fac7,PASS
